Time,Source,Destination,Protocol,Length
0.311679,10.0.0.3,10.0.0.6,IPv4,1514
0.312685,10.0.0.5,10.0.0.6,TCP,1057
0.313719,10.0.0.5,10.0.0.6,TCP,1057
0.314832,10.0.0.5,10.0.0.6,TCP,1057
0.315351,10.0.0.3,10.0.0.6,TCP,574
0.315871,10.0.0.5,10.0.0.6,TCP,1057
0.316895,10.0.0.3,10.0.0.6,IPv4,1514
0.31795,10.0.0.5,10.0.0.6,TCP,1057
0.319001,10.0.0.5,10.0.0.6,TCP,1057
0.319741,10.0.0.5,10.0.0.6,TCP,1057
0.32061,10.0.0.3,10.0.0.6,IPv4,1514
0.321513,10.0.0.5,10.0.0.6,TCP,1057
0.322717,10.0.0.5,10.0.0.6,TCP,1057
0.323155,10.0.0.5,10.0.0.6,TCP,1057
0.324391,10.0.0.3,10.0.0.6,IPv4,1514
0.325355,10.0.0.5,10.0.0.6,TCP,1057
0.326412,10.0.0.5,10.0.0.6,TCP,1057
0.326941,10.0.0.3,10.0.0.6,IPv4,1514
0.328512,10.0.0.5,10.0.0.6,TCP,1057
0.32905,10.0.0.5,10.0.0.6,TCP,1057
0.330093,10.0.0.5,10.0.0.6,TCP,1057
0.331145,10.0.0.3,10.0.0.6,IPv4,1514
0.332209,10.0.0.5,10.0.0.6,TCP,1057
0.332732,10.0.0.5,10.0.0.6,TCP,1057
0.333793,10.0.0.5,10.0.0.6,TCP,1057
0.334846,10.0.0.3,10.0.0.6,TCP,574
0.33485,10.0.0.5,10.0.0.6,TCP,1057
0.335913,10.0.0.3,10.0.0.6,IPv4,1514
0.336965,10.0.0.5,10.0.0.6,TCP,1057
0.338011,10.0.0.5,10.0.0.6,TCP,1057
0.339066,10.0.0.5,10.0.0.6,TCP,1057
0.339645,10.0.0.3,10.0.0.6,IPv4,1514
0.341173,10.0.0.5,10.0.0.6,TCP,1057
0.341701,10.0.0.5,10.0.0.6,TCP,1057
0.342752,10.0.0.5,10.0.0.6,TCP,1057
0.343324,10.0.0.3,10.0.0.6,IPv4,1514
0.344861,10.0.0.5,10.0.0.6,TCP,1057
0.34539,10.0.0.5,10.0.0.6,TCP,1057
0.346453,10.0.0.5,10.0.0.6,TCP,1057
0.346981,10.0.0.3,10.0.0.6,IPv4,1514
0.348551,10.0.0.5,10.0.0.6,TCP,1057
0.349087,10.0.0.5,10.0.0.6,TCP,1057
0.350133,10.0.0.5,10.0.0.6,TCP,1057
0.351187,10.0.0.3,10.0.0.6,IPv4,1514
0.352254,10.0.0.5,10.0.0.6,TCP,1057
0.352781,10.0.0.5,10.0.0.6,TCP,1057
0.353829,10.0.0.3,10.0.0.6,IPv4,1514
0.354884,10.0.0.3,10.0.0.6,IPv4,1514
0.356463,10.0.0.3,10.0.0.6,IPv4,1514
0.357522,10.0.0.3,10.0.0.6,IPv4,1514
0.358575,10.0.0.3,10.0.0.6,IPv4,1514
0.359719,10.0.0.3,10.0.0.6,IPv4,1514
0.361205,10.0.0.3,10.0.0.6,IPv4,1514
0.362256,10.0.0.3,10.0.0.6,IPv4,1514
0.363344,10.0.0.3,10.0.0.6,IPv4,1514
0.364887,10.0.0.3,10.0.0.6,IPv4,1514
0.365939,10.0.0.3,10.0.0.6,IPv4,1514
0.366995,10.0.0.3,10.0.0.6,IPv4,1514
0.368577,10.0.0.3,10.0.0.6,IPv4,1514
0.369628,10.0.0.3,10.0.0.6,IPv4,1514
0.370676,10.0.0.3,10.0.0.6,IPv4,1514
0.37188,10.0.0.3,10.0.0.6,IPv4,1514
0.373318,10.0.0.3,10.0.0.6,IPv4,1514
0.37439,10.0.0.3,10.0.0.6,IPv4,1514
0.375431,10.0.0.3,10.0.0.6,IPv4,1514
0.377014,10.0.0.5,10.0.0.6,TCP,1057
0.377546,10.0.0.5,10.0.0.6,TCP,1057
0.378642,10.0.0.5,10.0.0.6,TCP,1057
0.379699,10.0.0.3,10.0.0.6,IPv4,1514
0.380509,10.0.0.5,10.0.0.6,TCP,1057
0.381238,10.0.0.5,10.0.0.6,TCP,1057
0.382294,10.0.0.3,10.0.0.6,IPv4,1514
0.383392,10.0.0.5,10.0.0.6,TCP,1057
0.384232,10.0.0.5,10.0.0.6,TCP,1057
0.385496,10.0.0.5,10.0.0.6,TCP,1057
0.386006,10.0.0.3,10.0.0.6,IPv4,1514
0.38705,10.0.0.5,10.0.0.6,TCP,1057
0.388115,10.0.0.5,10.0.0.6,TCP,1057
0.389157,10.0.0.5,10.0.0.6,TCP,1057
0.38971,10.0.0.3,10.0.0.6,IPv4,1514
0.39075,10.0.0.5,10.0.0.6,TCP,1057
0.391801,10.0.0.5,10.0.0.6,TCP,1057
0.392867,10.0.0.5,10.0.0.6,TCP,1057
0.393398,10.0.0.3,10.0.0.6,IPv4,1514
0.394957,10.0.0.5,10.0.0.6,TCP,1057
0.395523,10.0.0.5,10.0.0.6,TCP,1057
0.396532,10.0.0.5,10.0.0.6,TCP,1057
0.397095,10.0.0.3,10.0.0.6,IPv4,1514
0.398253,10.0.0.5,10.0.0.6,TCP,1057
0.399176,10.0.0.5,10.0.0.6,TCP,1057
0.400233,10.0.0.5,10.0.0.6,TCP,1057
0.401279,10.0.0.3,10.0.0.6,IPv4,1514
0.402332,10.0.0.5,10.0.0.6,TCP,1057
0.402863,10.0.0.5,10.0.0.6,TCP,1057
0.403914,10.0.0.5,10.0.0.6,TCP,1057
0.404969,10.0.0.3,10.0.0.6,TCP,574
0.405001,10.0.0.5,10.0.0.6,TCP,1057
0.40602,10.0.0.3,10.0.0.6,IPv4,574
0.406548,10.0.0.5,10.0.0.6,TCP,1057
0.40764,10.0.0.3,10.0.0.6,TCP,1514
0.40867,10.0.0.5,10.0.0.6,TCP,1057
0.409193,10.0.0.5,10.0.0.6,TCP,1057
0.410247,10.0.0.5,10.0.0.6,TCP,1057
0.411338,10.0.0.3,10.0.0.6,IPv4,1514
0.412373,10.0.0.5,10.0.0.6,TCP,1057
0.413403,10.0.0.5,10.0.0.6,TCP,1057
0.413935,10.0.0.3,10.0.0.6,IPv4,1514
0.415552,10.0.0.5,10.0.0.6,TCP,1057
0.41605,10.0.0.5,10.0.0.6,TCP,1057
0.417096,10.0.0.5,10.0.0.6,TCP,1057
0.417632,10.0.0.3,10.0.0.6,IPv4,1514
0.419206,10.0.0.5,10.0.0.6,TCP,1057
0.419841,10.0.0.5,10.0.0.6,TCP,1057
0.420784,10.0.0.5,10.0.0.6,TCP,1057
0.421303,10.0.0.3,10.0.0.6,IPv4,1514
0.42288,10.0.0.5,10.0.0.6,TCP,1057
0.423452,10.0.0.5,10.0.0.6,TCP,1057
0.424463,10.0.0.5,10.0.0.6,TCP,1057
0.425518,10.0.0.3,10.0.0.6,IPv4,1514
0.426565,10.0.0.5,10.0.0.6,TCP,1057
0.427093,10.0.0.5,10.0.0.6,TCP,1057
0.42815,10.0.0.5,10.0.0.6,TCP,1057
0.429196,10.0.0.3,10.0.0.6,IPv4,1514
0.430247,10.0.0.5,10.0.0.6,TCP,1057
0.431341,10.0.0.5,10.0.0.6,TCP,1057
0.431834,10.0.0.5,10.0.0.6,TCP,1057
0.432879,10.0.0.3,10.0.0.6,IPv4,1514
0.433929,10.0.0.5,10.0.0.6,TCP,1057
0.434988,10.0.0.5,10.0.0.6,TCP,1057
0.435557,10.0.0.5,10.0.0.6,TCP,1057
0.436569,10.0.0.3,10.0.0.6,IPv4,1514
0.43763,10.0.0.3,10.0.0.6,IPv4,1514
0.439208,10.0.0.3,10.0.0.6,IPv4,1514
0.44029,10.0.0.3,10.0.0.6,IPv4,1514
0.441333,10.0.0.3,10.0.0.6,IPv4,1514
0.442383,10.0.0.3,10.0.0.6,IPv4,1514
0.443966,10.0.0.3,10.0.0.6,IPv4,1514
0.445017,10.0.0.3,10.0.0.6,IPv4,1514
0.446068,10.0.0.3,10.0.0.6,IPv4,1514
0.447584,10.0.0.3,10.0.0.6,IPv4,1514
0.448702,10.0.0.3,10.0.0.6,TCP,574
0.449227,10.0.0.3,10.0.0.6,IPv4,1514
0.450281,10.0.0.3,10.0.0.6,IPv4,1514
0.451348,10.0.0.3,10.0.0.6,IPv4,1514
0.45293,10.0.0.3,10.0.0.6,IPv4,1514
0.453979,10.0.0.3,10.0.0.6,IPv4,1514
0.455041,10.0.0.3,10.0.0.6,IPv4,1514
0.456619,10.0.0.3,10.0.0.6,IPv4,1514
0.457675,10.0.0.3,10.0.0.6,IPv4,1514
0.458737,10.0.0.5,10.0.0.6,TCP,1057
0.459701,10.0.0.5,10.0.0.6,TCP,1057
0.460338,10.0.0.5,10.0.0.6,TCP,1057
0.461371,10.0.0.3,10.0.0.6,IPv4,1514
0.462425,10.0.0.5,10.0.0.6,TCP,1057
0.463538,10.0.0.5,10.0.0.6,TCP,1057
0.464015,10.0.0.5,10.0.0.6,TCP,1057
0.465069,10.0.0.3,10.0.0.6,IPv4,1514
0.466136,10.0.0.5,10.0.0.6,TCP,1057
0.46696,10.0.0.5,10.0.0.6,TCP,1057
0.467737,10.0.0.5,10.0.0.6,TCP,1057
0.468753,10.0.0.3,10.0.0.6,IPv4,1514
0.469804,10.0.0.5,10.0.0.6,TCP,1057
0.47063,10.0.0.5,10.0.0.6,TCP,1057
0.471808,10.0.0.5,10.0.0.6,TCP,1057
0.472458,10.0.0.3,10.0.0.6,IPv4,1514
0.474019,10.0.0.5,10.0.0.6,TCP,1057
0.474549,10.0.0.5,10.0.0.6,TCP,1057
0.47564,10.0.0.3,10.0.0.6,IPv4,1514
0.476673,10.0.0.5,10.0.0.6,TCP,1057
0.477719,10.0.0.5,10.0.0.6,TCP,1057
0.47828,10.0.0.5,10.0.0.6,TCP,1057
0.479082,10.0.0.5,10.0.0.6,TCP,1057
0.479847,10.0.0.3,10.0.0.6,IPv4,1514
0.481412,10.0.0.5,10.0.0.6,TCP,1057
0.481938,10.0.0.5,10.0.0.6,TCP,1057
0.482733,10.0.0.5,10.0.0.6,TCP,1057
0.484046,10.0.0.3,10.0.0.6,IPv4,1514
0.48512,10.0.0.5,10.0.0.6,TCP,1057
