Time,Source,Destination,Protocol,Length,Label
59.114996,10.0.0.5,10.0.0.6,TCP,1057,1
59.133432,10.0.0.5,10.0.0.6,TCP,1057,1
59.137152,10.0.0.5,10.0.0.6,TCP,1057,1
59.305779,10.0.0.5,10.0.0.6,TCP,1057,1
59.832646,10.0.0.3,10.0.0.6,IPv4,1514,1
60.173894,10.0.0.5,10.0.0.6,TCP,1057,1
60.574222,10.0.0.5,10.0.0.6,TCP,1057,1
60.742236,10.0.0.4,10.0.0.6,TCP,954,1
60.912994,10.0.0.5,10.0.0.6,TCP,1057,1
61.05178,10.0.0.3,10.0.0.6,IPv4,1514,1
61.233895,10.0.0.3,10.0.0.6,IPv4,1514,1
61.707003,10.0.0.3,10.0.0.6,IPv4,1514,1
62.363404,10.0.0.3,10.0.0.6,IPv4,1514,1
62.622043,10.0.0.5,10.0.0.6,TCP,1057,1
62.786894,10.0.0.5,10.0.0.6,TCP,1057,1
64.027665,10.0.0.5,10.0.0.6,TCP,1057,1
64.272166,10.0.0.3,10.0.0.6,TCP,574,1
64.593203,10.0.0.3,10.0.0.6,IPv4,1514,1
64.611438,10.0.0.5,10.0.0.6,TCP,1057,1
65.040343,10.0.0.3,10.0.0.6,IPv4,1514,1
65.058766,10.0.0.5,10.0.0.6,TCP,1057,1
65.16196,10.0.0.5,10.0.0.6,TCP,1057,1
65.182495,10.0.0.5,10.0.0.6,TCP,1057,1
65.289081,10.0.0.3,10.0.0.6,IPv4,1514,1
66.197401,10.0.0.5,10.0.0.6,TCP,1057,1
66.203199,10.0.0.3,10.0.0.6,IPv4,1514,1
66.710039,10.0.0.5,10.0.0.6,TCP,1057,1
67.313231,10.0.0.5,10.0.0.6,TCP,1057,1
67.32853,10.0.0.5,10.0.0.6,TCP,1057,1
67.456599,10.0.0.3,10.0.0.6,IPv4,1514,1
67.93747,10.0.0.5,10.0.0.6,TCP,1057,1
68.155482,10.0.0.3,10.0.0.6,IPv4,1514,1
68.467005,10.0.0.3,10.0.0.6,IPv4,1514,1
68.870842,10.0.0.3,10.0.0.6,IPv4,1514,1
68.898285,10.0.0.5,10.0.0.6,TCP,1057,1
70.532491,10.0.0.3,10.0.0.6,IPv4,1514,1
70.839393,10.0.0.2,10.0.0.6,TCP,126,1
70.846004,10.0.0.5,10.0.0.6,TCP,1057,1
70.890279,10.0.0.3,10.0.0.6,IPv4,1514,1
71.303578,10.0.0.5,10.0.0.6,TCP,1057,1
71.996103,10.0.0.2,10.0.0.6,TCP,1514,1
72.903533,10.0.0.5,10.0.0.6,TCP,1057,1
72.922923,10.0.0.5,10.0.0.6,TCP,1057,1
73.213865,10.0.0.3,10.0.0.6,IPv4,1514,1
73.364953,10.0.0.5,10.0.0.6,TCP,1057,1
73.501092,10.0.0.5,10.0.0.6,TCP,1057,1
73.712499,10.0.0.3,10.0.0.6,IPv4,1514,1
73.808726,10.0.0.5,10.0.0.6,TCP,1057,1
73.857309,10.0.0.5,10.0.0.6,TCP,1057,1
73.937008,10.0.0.5,10.0.0.6,TCP,1057,1
74.313308,10.0.0.5,10.0.0.6,TCP,1057,1
74.495107,10.0.0.3,10.0.0.6,IPv4,1514,1
75.33508,10.0.0.5,10.0.0.6,TCP,1057,1
75.897001,10.0.0.3,10.0.0.6,IPv4,1514,1
76.173682,10.0.0.5,10.0.0.6,TCP,1057,1
76.223911,10.0.0.3,10.0.0.6,IPv4,1514,1
76.82573,10.0.0.5,10.0.0.6,TCP,1057,1
77.226313,10.0.0.3,10.0.0.6,IPv4,1514,1
78.519695,10.0.0.3,10.0.0.6,IPv4,1514,1
79.653043,10.0.0.5,10.0.0.6,TCP,1057,1
80.146294,10.0.0.3,10.0.0.6,IPv4,1514,1
80.484513,10.0.0.3,10.0.0.6,IPv4,1514,1
80.580111,10.0.0.5,10.0.0.6,TCP,1057,1
81.337501,10.0.0.3,10.0.0.6,IPv4,1514,1
81.385759,10.0.0.3,10.0.0.6,IPv4,1514,1
81.613868,10.0.0.3,10.0.0.6,IPv4,1514,1
81.70023,10.0.0.3,10.0.0.6,IPv4,1514,1
82.862303,10.0.0.4,10.0.0.6,TCP,954,1
82.930616,10.0.0.4,10.0.0.6,TCP,954,1
83.527175,10.0.0.5,10.0.0.6,TCP,1057,1
84.085894,10.0.0.5,10.0.0.6,TCP,1057,1
84.17636,10.0.0.5,10.0.0.6,TCP,1057,1
84.465555,10.0.0.5,10.0.0.6,TCP,1057,1
84.676977,10.0.0.5,10.0.0.6,TCP,1057,1
84.837062,10.0.0.5,10.0.0.6,TCP,1057,1
84.990958,10.0.0.5,10.0.0.6,TCP,1057,1
85.013786,10.0.0.5,10.0.0.6,TCP,1057,1
85.04003,10.0.0.5,10.0.0.6,TCP,1057,1
85.050147,10.0.0.5,10.0.0.6,TCP,1057,1
85.32412,10.0.0.2,10.0.0.6,TCP,1514,1
85.327034,10.0.0.5,10.0.0.6,TCP,1057,1
85.414366,10.0.0.2,10.0.0.6,TCP,1514,1
85.415581,10.0.0.2,10.0.0.6,TCP,1514,1
85.456538,10.0.0.2,10.0.0.6,TCP,1514,1
85.458584,10.0.0.2,10.0.0.6,TCP,1514,1
85.500393,10.0.0.2,10.0.0.6,TCP,1514,1
85.503286,10.0.0.2,10.0.0.6,TCP,1514,1
85.544252,10.0.0.2,10.0.0.6,TCP,1514,1
85.547986,10.0.0.2,10.0.0.6,TCP,1514,1
85.55174,10.0.0.5,10.0.0.6,TCP,1057,1
85.588108,10.0.0.2,10.0.0.6,TCP,1514,1
85.591861,10.0.0.2,10.0.0.6,TCP,1514,1
85.631958,10.0.0.2,10.0.0.6,TCP,1514,1
85.634016,10.0.0.2,10.0.0.6,TCP,1514,1
85.674971,10.0.0.2,10.0.0.6,TCP,1514,1
85.676178,10.0.0.2,10.0.0.6,TCP,1514,1
85.717138,10.0.0.2,10.0.0.6,TCP,1514,1
85.718348,10.0.0.2,10.0.0.6,TCP,1514,1
85.759327,10.0.0.2,10.0.0.6,TCP,1514,1
85.760525,10.0.0.2,10.0.0.6,TCP,1514,1
85.801471,10.0.0.2,10.0.0.6,TCP,1514,1
85.802672,10.0.0.2,10.0.0.6,TCP,1514,1
85.845654,10.0.0.2,10.0.0.6,TCP,1514,1
85.846672,10.0.0.2,10.0.0.6,TCP,1514,1
85.887658,10.0.0.2,10.0.0.6,TCP,1514,1
85.888829,10.0.0.2,10.0.0.6,TCP,1514,1
85.929299,10.0.0.5,10.0.0.6,TCP,1057,1
85.929843,10.0.0.2,10.0.0.6,TCP,1514,1
85.931001,10.0.0.2,10.0.0.6,TCP,1514,1
85.972413,10.0.0.2,10.0.0.6,TCP,1514,1
85.973381,10.0.0.2,10.0.0.6,TCP,1514,1
85.985021,10.0.0.5,10.0.0.6,TCP,1057,1
86.014122,10.0.0.2,10.0.0.6,TCP,1514,1
86.015319,10.0.0.2,10.0.0.6,TCP,1514,1
86.034307,10.0.0.5,10.0.0.6,TCP,1057,1
86.056283,10.0.0.2,10.0.0.6,TCP,1514,1
86.057489,10.0.0.2,10.0.0.6,TCP,1514,1
86.098447,10.0.0.2,10.0.0.6,TCP,1514,1
86.099668,10.0.0.2,10.0.0.6,TCP,1514,1
86.141515,10.0.0.2,10.0.0.6,TCP,1514,1
86.142715,10.0.0.2,10.0.0.6,TCP,1514,1
86.183685,10.0.0.2,10.0.0.6,TCP,1514,1
86.184883,10.0.0.2,10.0.0.6,TCP,1514,1
86.24289,10.0.0.2,10.0.0.6,TCP,1514,1
86.245004,10.0.0.2,10.0.0.6,TCP,1514,1
86.284747,10.0.0.2,10.0.0.6,TCP,1514,1
86.28597,10.0.0.2,10.0.0.6,TCP,1514,1
86.326917,10.0.0.2,10.0.0.6,TCP,1514,1
86.32812,10.0.0.2,10.0.0.6,TCP,1514,1
86.369078,10.0.0.2,10.0.0.6,TCP,1514,1
86.370282,10.0.0.2,10.0.0.6,TCP,1514,1
86.411262,10.0.0.2,10.0.0.6,TCP,1514,1
86.413799,10.0.0.2,10.0.0.6,TCP,1514,1
86.453478,10.0.0.2,10.0.0.6,TCP,1514,1
86.494434,10.0.0.2,10.0.0.6,TCP,1514,1
86.495647,10.0.0.2,10.0.0.6,TCP,1514,1
86.536611,10.0.0.2,10.0.0.6,TCP,1514,1
86.537819,10.0.0.2,10.0.0.6,TCP,2962,0
86.579973,10.0.0.2,10.0.0.6,TCP,1514,1
86.58118,10.0.0.2,10.0.0.6,TCP,2962,0
86.623361,10.0.0.2,10.0.0.6,TCP,1514,1
86.624582,10.0.0.2,10.0.0.6,TCP,2962,0
86.629527,10.0.0.2,10.0.0.6,TCP,2962,0
86.669153,10.0.0.2,10.0.0.6,TCP,1514,1
86.670378,10.0.0.2,10.0.0.6,TCP,2962,0
86.677018,10.0.0.2,10.0.0.6,TCP,2962,0
86.714952,10.0.0.2,10.0.0.6,TCP,2962,0
86.723304,10.0.0.2,10.0.0.6,TCP,2962,0
86.759592,10.0.0.2,10.0.0.6,TCP,2962,0
86.769565,10.0.0.2,10.0.0.6,TCP,2962,0
86.804137,10.0.0.2,10.0.0.6,TCP,2962,0
86.815299,10.0.0.2,10.0.0.6,TCP,2962,0
86.839186,10.0.0.5,10.0.0.6,TCP,1057,1
86.851031,10.0.0.2,10.0.0.6,TCP,2962,0
86.863601,10.0.0.2,10.0.0.6,TCP,2962,0
86.895623,10.0.0.2,10.0.0.6,TCP,2962,0
86.909871,10.0.0.2,10.0.0.6,TCP,2962,0
86.940199,10.0.0.2,10.0.0.6,TCP,2962,0
86.956152,10.0.0.2,10.0.0.6,TCP,2962,0
86.984811,10.0.0.2,10.0.0.6,TCP,2962,0
87.002435,10.0.0.2,10.0.0.6,TCP,2962,0
87.021777,10.0.0.5,10.0.0.6,TCP,1057,1
87.029387,10.0.0.2,10.0.0.6,TCP,2962,0
87.048711,10.0.0.2,10.0.0.6,TCP,2962,0
87.073966,10.0.0.2,10.0.0.6,TCP,2962,0
87.094999,10.0.0.2,10.0.0.6,TCP,2962,0
87.11855,10.0.0.2,10.0.0.6,TCP,2962,0
87.141307,10.0.0.2,10.0.0.6,TCP,2962,0
87.163174,10.0.0.2,10.0.0.6,TCP,2962,0
87.187587,10.0.0.2,10.0.0.6,TCP,2962,0
87.207772,10.0.0.2,10.0.0.6,TCP,2962,0
87.233867,10.0.0.2,10.0.0.6,TCP,2962,0
87.25235,10.0.0.2,10.0.0.6,TCP,2962,0
87.280141,10.0.0.2,10.0.0.6,TCP,2962,0
87.29694,10.0.0.2,10.0.0.6,TCP,2962,0
87.304427,10.0.0.5,10.0.0.6,TCP,1057,1
87.326421,10.0.0.2,10.0.0.6,TCP,2962,0
87.341531,10.0.0.2,10.0.0.6,TCP,1514,1
87.34275,10.0.0.2,10.0.0.6,TCP,2962,0
87.373911,10.0.0.2,10.0.0.6,TCP,2962,0
87.387318,10.0.0.2,10.0.0.6,TCP,2962,0
87.42019,10.0.0.2,10.0.0.6,TCP,2962,0
87.431907,10.0.0.2,10.0.0.6,TCP,2962,0
87.466474,10.0.0.2,10.0.0.6,TCP,2962,0
87.476501,10.0.0.2,10.0.0.6,TCP,2962,0
87.512749,10.0.0.2,10.0.0.6,TCP,2962,0
87.521088,10.0.0.2,10.0.0.6,TCP,2962,0
87.559058,10.0.0.2,10.0.0.6,TCP,2962,0
87.575798,10.0.0.2,10.0.0.6,TCP,2962,0
87.623324,10.0.0.2,10.0.0.6,TCP,2962,0
87.628328,10.0.0.2,10.0.0.6,TCP,2962,0
87.668695,10.0.0.2,10.0.0.6,TCP,2962,0
87.673655,10.0.0.2,10.0.0.6,TCP,2962,0
87.714972,10.0.0.2,10.0.0.6,TCP,2962,0
87.718246,10.0.0.2,10.0.0.6,TCP,2962,0
87.760417,10.0.0.2,10.0.0.6,TCP,2962,0
87.762843,10.0.0.2,10.0.0.6,TCP,2962,0
87.805102,10.0.0.2,10.0.0.6,TCP,2962,0
87.807426,10.0.0.2,10.0.0.6,TCP,2962,0
87.852547,10.0.0.2,10.0.0.6,TCP,2962,0
87.854972,10.0.0.2,10.0.0.6,TCP,2962,0
87.897133,10.0.0.2,10.0.0.6,TCP,2962,0
87.899547,10.0.0.2,10.0.0.6,TCP,2962,0
87.919737,10.0.0.5,10.0.0.6,TCP,1057,1
87.94173,10.0.0.2,10.0.0.6,TCP,2962,0
87.944142,10.0.0.2,10.0.0.6,TCP,2962,0
87.986473,10.0.0.2,10.0.0.6,TCP,2962,0
87.988727,10.0.0.2,10.0.0.6,TCP,2962,0
88.030893,10.0.0.2,10.0.0.6,TCP,2962,0
88.033317,10.0.0.2,10.0.0.6,TCP,1514,1
88.037069,10.0.0.2,10.0.0.6,TCP,2962,0
88.076698,10.0.0.2,10.0.0.6,TCP,2962,0
88.083342,10.0.0.2,10.0.0.6,TCP,2962,0
88.121281,10.0.0.2,10.0.0.6,TCP,2962,0
88.129627,10.0.0.2,10.0.0.6,TCP,2962,0
88.16587,10.0.0.2,10.0.0.6,TCP,2962,0
88.175907,10.0.0.2,10.0.0.6,TCP,2962,0
88.210461,10.0.0.2,10.0.0.6,TCP,2962,0
88.222174,10.0.0.2,10.0.0.6,TCP,2962,0
88.255046,10.0.0.2,10.0.0.6,TCP,2962,0
88.268469,10.0.0.2,10.0.0.6,TCP,2962,0
88.299911,10.0.0.2,10.0.0.6,TCP,2962,0
88.314732,10.0.0.2,10.0.0.6,TCP,2962,0
88.344222,10.0.0.2,10.0.0.6,TCP,2962,0
88.360176,10.0.0.2,10.0.0.6,TCP,2962,0
88.38881,10.0.0.2,10.0.0.6,TCP,2962,0
88.406461,10.0.0.2,10.0.0.6,TCP,2962,0
88.43343,10.0.0.2,10.0.0.6,TCP,2962,0
88.452732,10.0.0.2,10.0.0.6,TCP,2962,0
88.478014,10.0.0.2,10.0.0.6,TCP,2962,0
88.499008,10.0.0.2,10.0.0.6,TCP,2962,0
88.522574,10.0.0.2,10.0.0.6,TCP,2962,0
88.545299,10.0.0.2,10.0.0.6,TCP,2962,0
88.568006,10.0.0.2,10.0.0.6,TCP,2962,0
88.591576,10.0.0.2,10.0.0.6,TCP,2962,0
88.612595,10.0.0.2,10.0.0.6,TCP,2962,0
88.637858,10.0.0.2,10.0.0.6,TCP,2962,0
88.657183,10.0.0.2,10.0.0.6,TCP,2962,0
88.684132,10.0.0.2,10.0.0.6,TCP,2962,0
88.701771,10.0.0.2,10.0.0.6,TCP,2962,0
88.730413,10.0.0.2,10.0.0.6,TCP,1514,1
88.731625,10.0.0.2,10.0.0.6,TCP,2962,0
88.747562,10.0.0.2,10.0.0.6,TCP,2962,0
88.778737,10.0.0.2,10.0.0.6,TCP,2962,0
88.792238,10.0.0.2,10.0.0.6,TCP,2962,0
88.826677,10.0.0.2,10.0.0.6,TCP,2962,0
88.838401,10.0.0.2,10.0.0.6,TCP,2962,0
88.872968,10.0.0.2,10.0.0.6,TCP,2962,0
88.882994,10.0.0.2,10.0.0.6,TCP,2962,0
88.919283,10.0.0.2,10.0.0.6,TCP,2962,0
88.927579,10.0.0.2,10.0.0.6,TCP,2962,0
88.965525,10.0.0.2,10.0.0.6,TCP,2962,0
88.972189,10.0.0.2,10.0.0.6,TCP,2962,0
89.0118,10.0.0.2,10.0.0.6,TCP,2962,0
89.016758,10.0.0.2,10.0.0.6,TCP,2962,0
89.058109,10.0.0.2,10.0.0.6,TCP,2962,0
89.061341,10.0.0.2,10.0.0.6,TCP,2962,0
89.103517,10.0.0.2,10.0.0.6,TCP,2962,0
89.105967,10.0.0.2,10.0.0.6,TCP,2962,0
89.148109,10.0.0.2,10.0.0.6,TCP,2962,0
89.150537,10.0.0.2,10.0.0.6,TCP,2962,0
89.192687,10.0.0.2,10.0.0.6,TCP,2962,0
89.195121,10.0.0.2,10.0.0.6,TCP,2962,0
89.237281,10.0.0.2,10.0.0.6,TCP,2962,0
89.239703,10.0.0.2,10.0.0.6,TCP,2962,0
89.265815,10.0.0.5,10.0.0.6,TCP,1057,1
89.274251,10.0.0.5,10.0.0.6,TCP,1057,1
89.281859,10.0.0.2,10.0.0.6,TCP,2962,0
89.284283,10.0.0.2,10.0.0.6,TCP,2962,0
89.326459,10.0.0.2,10.0.0.6,TCP,2962,0
89.328868,10.0.0.2,10.0.0.6,TCP,2962,0
89.371044,10.0.0.2,10.0.0.6,TCP,2962,0
89.37351,10.0.0.2,10.0.0.6,TCP,2962,0
89.415637,10.0.0.2,10.0.0.6,TCP,1514,1
89.416836,10.0.0.2,10.0.0.6,TCP,2962,0
89.419282,10.0.0.2,10.0.0.6,TCP,2962,0
89.461423,10.0.0.2,10.0.0.6,TCP,2962,0
89.463875,10.0.0.2,10.0.0.6,TCP,2962,0
89.506052,10.0.0.2,10.0.0.6,TCP,2962,0
89.508629,10.0.0.2,10.0.0.6,TCP,2962,0
89.55067,10.0.0.2,10.0.0.6,TCP,2962,0
89.553256,10.0.0.2,10.0.0.6,TCP,2962,0
89.595291,10.0.0.2,10.0.0.6,TCP,2962,0
